n_start,steps_to_1,max_value,nu2_0_mean,delta_nu2_total_mean
1,0,1,0.0,0.0
2,1,2,1.0,-1.0
3,7,16,0.0,0.0
4,2,4,2.0,-2.0
5,5,16,0.0,0.0
6,8,16,1.0,-1.0
7,16,52,0.0,0.0
8,3,8,3.0,-3.0
9,19,52,0.0,0.0
10,6,16,1.0,-1.0
11,14,52,0.0,0.0
12,9,16,2.0,-2.0
13,9,40,0.0,0.0
14,17,52,1.0,-1.0
15,17,160,0.0,0.0
16,4,16,4.0,-4.0
17,12,52,0.0,0.0
18,20,52,1.0,-1.0
19,20,88,0.0,0.0
20,7,20,2.0,-2.0
21,7,64,0.0,0.0
22,15,52,1.0,-1.0
23,15,160,0.0,0.0
24,10,24,3.0,-3.0
25,23,88,0.0,0.0
26,10,40,1.0,-1.0
27,111,9232,0.0,0.0
28,18,52,2.0,-2.0
29,18,88,0.0,0.0
30,18,160,1.0,-1.0
31,106,9232,0.0,0.0
32,5,32,5.0,-5.0
33,26,100,0.0,0.0
34,13,52,1.0,-1.0
35,13,160,0.0,0.0
36,21,52,2.0,-2.0
37,21,112,0.0,0.0
38,21,88,1.0,-1.0
39,34,304,0.0,0.0
40,8,40,3.0,-3.0
41,109,9232,0.0,0.0
42,8,64,1.0,-1.0
43,29,196,0.0,0.0
44,16,52,2.0,-2.0
45,16,136,0.0,0.0
46,16,160,1.0,-1.0
47,104,9232,0.0,0.0
48,11,48,4.0,-4.0
49,24,148,0.0,0.0
50,24,88,1.0,-1.0
51,24,232,0.0,0.0
52,11,52,2.0,-2.0
53,11,160,0.0,0.0
54,112,9232,1.0,-1.0
55,112,9232,0.0,0.0
56,19,56,3.0,-3.0
57,32,196,0.0,0.0
58,19,88,1.0,-1.0
59,32,304,0.0,0.0
60,19,160,2.0,-2.0
61,19,184,0.0,0.0
62,107,9232,1.0,-1.0
63,107,9232,0.0,0.0
64,6,64,6.0,-6.0
65,27,196,0.0,0.0
66,27,100,1.0,-1.0
67,27,304,0.0,0.0
68,14,68,2.0,-2.0
69,14,208,0.0,0.0
70,14,160,1.0,-1.0
71,102,9232,0.0,0.0
72,22,72,3.0,-3.0
73,115,9232,0.0,0.0
74,22,112,1.0,-1.0
75,14,340,0.0,0.0
76,22,88,2.0,-2.0
77,22,232,0.0,0.0
78,35,304,1.0,-1.0
79,35,808,0.0,0.0
80,9,80,4.0,-4.0
81,22,244,0.0,0.0
82,110,9232,1.0,-1.0
83,110,9232,0.0,0.0
84,9,84,2.0,-2.0
85,9,256,0.0,0.0
86,30,196,1.0,-1.0
87,30,592,0.0,0.0
88,17,88,3.0,-3.0
89,30,304,0.0,0.0
90,17,136,1.0,-1.0
91,92,9232,0.0,0.0
92,17,160,2.0,-2.0
93,17,280,0.0,0.0
94,105,9232,1.0,-1.0
95,105,9232,0.0,0.0
96,12,96,5.0,-5.0
97,118,9232,0.0,0.0
98,25,148,1.0,-1.0
99,25,448,0.0,0.0
100,25,100,2.0,-2.0
