UMAP1,UMAP2,cluster
-13.363301,4.9373574,1
-13.224874,4.5641847,1
-12.495957,5.0194607,1
-13.318064,5.0492234,1
-13.641596,4.745865,1
-12.204566,4.350401,1
-8.839947,1.7638329,4
-13.467737,4.6187444,1
-11.2061405,2.4997363,3
-13.06821,4.4876976,1
-11.925885,2.3361032,1
-12.426493,3.776371,1
-12.225641,3.5757885,1
-9.240534,4.2700696,2
-8.523131,4.447965,2
-13.910075,4.492061,1
-11.80192,4.626868,1
-11.003918,1.3727705,5
-10.84717,1.1440156,5
-12.608715,4.654775,1
-12.863091,4.890572,1
-11.854165,2.7060149,1
-12.080685,2.782937,1
-12.634569,3.181554,1
-10.882616,2.8954804,3
-12.335449,3.111996,1
-7.4053264,1.6502277,-1
-10.400137,3.449896,-1
-10.567393,3.2626083,3
-10.202072,3.7663805,-1
-7.0546174,1.3635573,0
-14.041139,4.354419,1
-9.56519,3.0885444,4
-11.367564,3.5346458,-1
-11.499135,3.792257,-1
-8.684681,2.3645778,4
-8.785857,2.4749796,4
-8.961444,2.7233152,4
-9.291499,1.2107929,-1
-12.211165,4.2936134,1
-6.822436,1.4514159,0
-12.44418,4.5776873,1
-9.682875,1.8608619,5
-8.635992,1.8557575,4
-8.4666195,1.718616,4
-8.516181,1.4997121,4
-6.751417,1.2837229,0
-13.620388,3.535002,1
-10.516825,1.1452788,5
-10.761569,1.5448617,5
-10.234746,1.3424706,5
-13.204995,3.1961713,1
-13.417019,3.2232358,-1
-6.8823776,0.92154884,0
-6.5671086,1.1373717,0
-11.106118,2.372242,3
-8.513306,0.96728164,4
-11.048261,2.1305554,3
-9.948809,1.5834368,5
-10.891313,2.1569963,3
-10.840895,2.34384,3
-6.2700706,0.7317003,0
-7.046911,0.57959414,0
-13.787825,4.113027,1
-9.913869,1.228312,5
-9.975921,2.2026606,4
-9.782419,1.6020998,5
-12.096254,1.9702235,1
-12.370105,2.2253692,1
-12.18517,1.8894892,1
-6.4269414,0.7815409,0
-9.256524,3.4440384,4
-5.9474883,0.48854133,0
-8.988598,3.6578817,4
-12.171412,1.729287,1
-9.1460085,3.5894332,4
-8.940521,3.4016488,4
-8.156145,0.5398077,4
-7.8292713,0.36446315,-1
-12.809747,3.7025464,1
-8.648231,3.1657267,4
-6.7156615,0.39504185,0
-6.6874056,0.39665145,0
-12.476882,3.9883318,1
-12.708193,4.1714773,1
-9.393297,0.61302006,-1
-9.53967,0.77366483,5
-9.020373,4.3514266,2
-8.692415,0.66617256,-1
-8.926683,4.4126415,2
-6.2672944,0.5504003,0
-8.50351,4.6065836,2
-8.261462,4.434024,-1
-6.32775,0.11849523,0
-6.6964173,-0.07595315,0
-13.974673,3.9506907,1
-7.479906,0.2505633,-1
-9.522106,2.733094,4
-9.961336,2.7048748,4
-9.205225,2.2700574,4
