n_start,UMAP1,UMAP2,steps_to_1,max_value,nu2_0,nu2_total,delta_nu2_total
1,-13.363301,4.9373574,0,1,0,0,0.0
2,-13.224874,4.5641847,1,2,1,1,-1.0
3,-12.495957,5.0194607,7,16,0,11,0.0
4,-13.318064,5.0492234,2,4,2,3,-2.0
5,-13.641596,4.745865,5,16,0,10,0.0
6,-12.204566,4.350401,8,16,1,12,-1.0
7,-8.839947,1.7638329,16,52,0,21,0.0
8,-13.467737,4.6187444,3,8,3,6,-3.0
9,-11.2061405,2.4997363,19,52,0,24,0.0
10,-13.06821,4.4876976,6,16,1,11,-1.0
11,-11.925885,2.3361032,14,52,0,20,0.0
12,-12.426493,3.776371,9,16,2,14,-2.0
13,-12.225641,3.5757885,9,40,0,16,0.0
14,-9.240534,4.2700696,17,52,1,22,-1.0
15,-8.523131,4.447965,17,160,0,28,0.0
16,-13.910075,4.492061,4,16,4,10,-4.0
17,-11.80192,4.626868,12,52,0,19,0.0
18,-11.003918,1.3727705,20,52,1,25,-1.0
19,-10.84717,1.1440156,20,88,0,27,0.0
20,-12.608715,4.654775,7,20,2,13,-2.0
21,-12.863091,4.890572,7,64,0,21,0.0
22,-11.854165,2.7060149,15,52,1,21,-1.0
23,-12.080685,2.782937,15,160,0,27,0.0
24,-12.634569,3.181554,10,24,3,17,-3.0
25,-10.882616,2.8954804,23,88,0,30,0.0
26,-12.335449,3.111996,10,40,1,17,-1.0
27,-7.4053264,1.6502277,111,9232,0,117,0.0
28,-10.400137,3.449896,18,52,2,24,-2.0
29,-10.567393,3.2626083,18,88,0,26,0.0
30,-10.202072,3.7663805,18,160,1,29,-1.0
31,-7.0546174,1.3635573,106,9232,0,113,0.0
32,-14.041139,4.354419,5,32,5,15,-5.0
33,-9.56519,3.0885444,26,100,0,33,0.0
34,-11.367564,3.5346458,13,52,1,20,-1.0
35,-11.499135,3.792257,13,160,0,26,0.0
36,-8.684681,2.3645778,21,52,2,27,-2.0
37,-8.785857,2.4749796,21,112,0,31,0.0
38,-8.961444,2.7233152,21,88,1,28,-1.0
39,-9.291499,1.2107929,34,304,0,43,0.0
40,-12.211165,4.2936134,8,40,3,16,-3.0
41,-6.822436,1.4514159,109,9232,0,116,0.0
42,-12.44418,4.5776873,8,64,1,22,-1.0
43,-9.682875,1.8608619,29,196,0,38,0.0
44,-8.635992,1.8557575,16,52,2,23,-2.0
45,-8.4666195,1.718616,16,136,0,25,0.0
46,-8.516181,1.4997121,16,160,1,28,-1.0
47,-6.751417,1.2837229,104,9232,0,112,0.0
48,-13.620388,3.535002,11,48,4,21,-4.0
49,-10.516825,1.1452788,24,148,0,34,0.0
50,-10.761569,1.5448617,24,88,1,31,-1.0
51,-10.234746,1.3424706,24,232,0,33,0.0
52,-13.204995,3.1961713,11,52,2,19,-2.0
53,-13.417019,3.2232358,11,160,0,25,0.0
54,-6.8823776,0.92154884,112,9232,1,118,-1.0
55,-6.5671086,1.1373717,112,9232,0,120,0.0
56,-11.106118,2.372242,19,56,3,27,-3.0
57,-8.513306,0.96728164,32,196,0,41,0.0
58,-11.048261,2.1305554,19,88,1,27,-1.0
59,-9.948809,1.5834368,32,304,0,42,0.0
60,-10.891313,2.1569963,19,160,2,31,-2.0
61,-10.840895,2.34384,19,184,0,33,0.0
62,-6.2700706,0.7317003,107,9232,1,114,-1.0
63,-7.046911,0.57959414,107,9232,0,118,0.0
64,-13.787825,4.113027,6,64,6,21,-6.0
65,-9.913869,1.228312,27,196,0,37,0.0
66,-9.975921,2.2026606,27,100,1,34,-1.0
67,-9.782419,1.6020998,27,304,0,38,0.0
68,-12.096254,1.9702235,14,68,2,22,-2.0
69,-12.370105,2.2253692,14,208,0,26,0.0
70,-12.18517,1.8894892,14,160,1,27,-1.0
71,-6.4269414,0.7815409,102,9232,0,111,0.0
72,-9.256524,3.4440384,22,72,3,30,-3.0
73,-5.9474883,0.48854133,115,9232,0,123,0.0
74,-8.988598,3.6578817,22,112,1,32,-1.0
75,-12.171412,1.729287,14,340,0,40,0.0
76,-9.1460085,3.5894332,22,88,2,30,-2.0
77,-8.940521,3.4016488,22,232,0,32,0.0
78,-8.156145,0.5398077,35,304,1,44,-1.0
79,-7.8292713,0.36446315,35,808,0,46,0.0
80,-12.809747,3.7025464,9,80,4,20,-4.0
81,-8.648231,3.1657267,22,244,0,36,0.0
82,-6.7156615,0.39504185,110,9232,1,117,-1.0
83,-6.6874056,0.39665145,110,9232,0,119,0.0
84,-12.476882,3.9883318,9,84,2,24,-2.0
85,-12.708193,4.1714773,9,256,0,36,0.0
86,-9.393297,0.61302006,30,196,1,39,-1.0
87,-9.53967,0.77366483,30,592,0,43,0.0
88,-9.020373,4.3514266,17,88,3,26,-3.0
89,-8.692415,0.66617256,30,304,0,41,0.0
90,-8.926683,4.4126415,17,136,1,26,-1.0
91,-6.2672944,0.5504003,92,9232,0,103,0.0
92,-8.50351,4.6065836,17,160,2,30,-2.0
93,-8.261462,4.434024,17,280,0,32,0.0
94,-6.32775,0.11849523,105,9232,1,113,-1.0
95,-6.6964173,-0.07595315,105,9232,0,117,0.0
96,-13.974673,3.9506907,12,96,5,26,-5.0
97,-7.479906,0.2505633,118,9232,0,126,0.0
98,-9.522106,2.733094,25,148,1,35,-1.0
99,-9.961336,2.7048748,25,448,0,43,0.0
100,-9.205225,2.2700574,25,100,2,33,-2.0
